species,seed,property,dc_spearman,best_non_dc_spearman,dc_preference,dc_ci_excludes_zero,dc_beats_non_dc
s_aureus,1,hydrophilic_fraction,0.9535469433272766,0.8494560278569627,0.1040909154703139,True,True
s_aureus,1,hydrophobic_moment,0.8750293544481896,0.7842851489603151,0.09074420548787454,True,True
s_aureus,1,mean_hydrophobicity,0.9588394325849205,0.8609149280873706,0.09792450449754997,True,True
s_aureus,1,net_charge,0.9369915144637195,0.8200667188094753,0.11692479565424418,True,True
s_aureus,1,pI,0.904058656056087,0.7748296463206943,0.12922900973539275,True,True
s_aureus,2,charge_density,0.9660542238802398,0.9057539378435076,0.06030028603673221,True,True
s_aureus,2,helix_propensity,0.9478931453223274,0.7984231065498756,0.1494700387724518,True,True
s_aureus,2,hydrophilic_fraction,0.9438240440123907,0.8489208301346796,0.09490321387771117,True,True
s_aureus,2,hydrophobic_moment,0.8728637539422673,0.8062356621908335,0.0666280917514338,True,True
s_aureus,2,mean_hydrophobicity,0.9642932597895891,0.8620592431522527,0.10223401663733644,True,True
s_aureus,2,net_charge,0.9358223999340114,0.8664360845559661,0.0693863153780453,True,True
s_aureus,2,pI,0.8958819820924361,0.7799601685184876,0.11592181357394848,True,True
s_aureus,3,charge_density,0.9678093404258648,0.8563202447614888,0.11148909566437593,True,True
s_aureus,3,helix_propensity,0.9367946519435482,0.7522007925725903,0.18459385937095785,True,True
s_aureus,3,hydrophilic_fraction,0.9468742770878639,0.8126208757887319,0.134253401299132,True,True
s_aureus,3,hydrophobic_moment,0.8748652987744756,0.7855296381360912,0.08933566063838438,True,True
s_aureus,3,mean_hydrophobicity,0.9483604891724915,0.8702141253866899,0.07814636378580164,True,True
s_aureus,3,net_charge,0.9455681163298723,0.7993957599740913,0.14617235635578096,True,True
s_aureus,3,pI,0.9064240392347177,0.768783816704379,0.1376402225303387,True,True
s_aureus,4,charge_density,0.9594596651670655,0.8891389064122207,0.07032075875484478,True,True
s_aureus,4,helix_propensity,0.9579516787775127,0.809810830650208,0.14814084812730477,True,True
s_aureus,4,hydrophilic_fraction,0.9393777337027966,0.7771630887314191,0.1622146449713775,True,True
s_aureus,4,hydrophobic_moment,0.8181028089642461,0.6566663552006872,0.16143645376355897,True,True
